timestamp,value_normalized
2010-12-29 14:15:00+00:00,0.0
2010-12-29 14:30:00+00:00,0.0
2010-12-29 14:45:00+00:00,0.0
2010-12-29 15:00:00+00:00,0.0
2010-12-29 15:15:00+00:00,0.0
2010-12-29 15:30:00+00:00,0.0
2010-12-29 15:45:00+00:00,0.0
2010-12-29 16:00:00+00:00,0.0
2010-12-29 16:15:00+00:00,
2010-12-29 16:30:00+00:00,0.0
2010-12-29 16:45:00+00:00,0.0
2010-12-29 17:00:00+00:00,0.0
2010-12-29 17:15:00+00:00,0.0
2010-12-29 17:30:00+00:00,0.0
2010-12-29 17:45:00+00:00,0.0
2010-12-29 18:00:00+00:00,0.0
2010-12-29 18:15:00+00:00,0.0
2010-12-29 18:30:00+00:00,0.0
2010-12-29 18:45:00+00:00,0.0
2010-12-29 19:00:00+00:00,0.0
2010-12-29 19:15:00+00:00,0.0
2010-12-29 19:30:00+00:00,
2010-12-29 19:45:00+00:00,
2010-12-29 20:00:00+00:00,
2010-12-29 20:15:00+00:00,
2010-12-29 20:30:00+00:00,
2010-12-29 20:45:00+00:00,
2010-12-29 21:00:00+00:00,
2010-12-29 21:15:00+00:00,
2010-12-29 21:30:00+00:00,
2010-12-29 21:45:00+00:00,
2010-12-29 22:00:00+00:00,
2010-12-29 22:15:00+00:00,
2010-12-29 22:30:00+00:00,
2010-12-29 22:45:00+00:00,
2010-12-29 23:00:00+00:00,
2010-12-29 23:15:00+00:00,
2010-12-29 23:30:00+00:00,
2010-12-29 23:45:00+00:00,
2010-12-30 00:00:00+00:00,
2010-12-30 00:15:00+00:00,
2010-12-30 00:30:00+00:00,
2010-12-30 00:45:00+00:00,
2010-12-30 01:00:00+00:00,
2010-12-30 01:15:00+00:00,
2010-12-30 01:30:00+00:00,
2010-12-30 01:45:00+00:00,
2010-12-30 02:00:00+00:00,
2010-12-30 02:15:00+00:00,
2010-12-30 02:30:00+00:00,
2010-12-30 02:45:00+00:00,
2010-12-30 03:00:00+00:00,
2010-12-30 03:15:00+00:00,
2010-12-30 03:30:00+00:00,
2010-12-30 03:45:00+00:00,
2010-12-30 04:00:00+00:00,
2010-12-30 04:15:00+00:00,
2010-12-30 04:30:00+00:00,
2010-12-30 04:45:00+00:00,
2010-12-30 05:00:00+00:00,
2010-12-30 05:15:00+00:00,
2010-12-30 05:30:00+00:00,
2010-12-30 05:45:00+00:00,
2010-12-30 06:00:00+00:00,
2010-12-30 06:15:00+00:00,
2010-12-30 06:30:00+00:00,
2010-12-30 06:45:00+00:00,
2010-12-30 07:00:00+00:00,
2010-12-30 07:15:00+00:00,
2010-12-30 07:30:00+00:00,
2010-12-30 07:45:00+00:00,
2010-12-30 08:00:00+00:00,
2010-12-30 08:15:00+00:00,
2010-12-30 08:30:00+00:00,
2010-12-30 08:45:00+00:00,
2010-12-30 09:00:00+00:00,
2010-12-30 09:15:00+00:00,
2010-12-30 09:30:00+00:00,
2010-12-30 09:45:00+00:00,
2010-12-30 10:00:00+00:00,
2010-12-30 10:15:00+00:00,
2010-12-30 10:30:00+00:00,
2010-12-30 10:45:00+00:00,
2010-12-30 11:00:00+00:00,
2010-12-30 11:15:00+00:00,
2010-12-30 11:30:00+00:00,
2010-12-30 11:45:00+00:00,
2010-12-30 12:00:00+00:00,
2010-12-30 12:15:00+00:00,0.0
2010-12-30 12:30:00+00:00,0.040685199
2010-12-30 12:45:00+00:00,0.106340229
2010-12-30 13:00:00+00:00,0.082760554
2010-12-30 13:15:00+00:00,0.095682377
2010-12-30 13:30:00+00:00,0.051938837
2010-12-30 13:45:00+00:00,0.039837868
2010-12-30 14:00:00+00:00,0.031748491
2010-12-30 14:15:00+00:00,0.023632634
2010-12-30 14:30:00+00:00,0.012352519
2010-12-30 14:45:00+00:00,0.011664062
2010-12-30 15:00:00+00:00,0.02433433
2010-12-30 15:15:00+00:00,0.013967747
2010-12-30 15:30:00+00:00,0.007321483
2010-12-30 15:45:00+00:00,0.005812172
2010-12-30 16:00:00+00:00,0.001449733
2010-12-30 16:15:00+00:00,
2010-12-30 16:30:00+00:00,
2010-12-30 16:45:00+00:00,
2010-12-30 17:00:00+00:00,
2010-12-30 17:15:00+00:00,
2010-12-30 17:30:00+00:00,
2010-12-30 17:45:00+00:00,
2010-12-30 18:00:00+00:00,
2010-12-30 18:15:00+00:00,
2010-12-30 18:30:00+00:00,
2010-12-30 18:45:00+00:00,
2010-12-30 19:00:00+00:00,
2010-12-30 19:15:00+00:00,
2010-12-30 19:30:00+00:00,
2010-12-30 19:45:00+00:00,
2010-12-30 20:00:00+00:00,
2010-12-30 20:15:00+00:00,
2010-12-30 20:30:00+00:00,
2010-12-30 20:45:00+00:00,
2010-12-30 21:00:00+00:00,
2010-12-30 21:15:00+00:00,
2010-12-30 21:30:00+00:00,
2010-12-30 21:45:00+00:00,
2010-12-30 22:00:00+00:00,
2010-12-30 22:15:00+00:00,
2010-12-30 22:30:00+00:00,
2010-12-30 22:45:00+00:00,
2010-12-30 23:00:00+00:00,
2010-12-30 23:15:00+00:00,
2010-12-30 23:30:00+00:00,
2010-12-30 23:45:00+00:00,
2010-12-31 00:00:00+00:00,
2010-12-31 00:15:00+00:00,
2010-12-31 00:30:00+00:00,
2010-12-31 00:45:00+00:00,
2010-12-31 01:00:00+00:00,
2010-12-31 01:15:00+00:00,
2010-12-31 01:30:00+00:00,
2010-12-31 01:45:00+00:00,
2010-12-31 02:00:00+00:00,
2010-12-31 02:15:00+00:00,
2010-12-31 02:30:00+00:00,
2010-12-31 02:45:00+00:00,
