,Global CMP22 (vent/cor) [W/m^2]
2022-01-20 02:00:00-07:00,-1.77842
2022-01-20 02:01:00-07:00,-1.80279
2022-01-20 02:02:00-07:00,-1.80335
2022-01-20 02:03:00-07:00,-1.79186
2022-01-20 02:04:00-07:00,-1.78408
2022-01-20 02:05:00-07:00,-1.73654
2022-01-20 02:06:00-07:00,-1.68467
2022-01-20 02:07:00-07:00,-1.688
2022-01-20 02:08:00-07:00,-1.72752
2022-01-20 02:09:00-07:00,-1.75162
2022-01-20 02:10:00-07:00,-1.75577
2022-01-20 02:11:00-07:00,-1.75948
2022-01-20 02:12:00-07:00,-1.72714
2022-01-20 02:13:00-07:00,-1.69107
2022-01-20 02:14:00-07:00,-1.70263
2022-01-20 02:15:00-07:00,-1.71696
2022-01-20 02:16:00-07:00,-1.76125
2022-01-20 02:17:00-07:00,-1.80478
2022-01-20 02:18:00-07:00,-1.82853
2022-01-20 02:19:00-07:00,-1.87998
2022-01-20 02:20:00-07:00,-1.91164
2022-01-20 02:21:00-07:00,-1.94331
2022-01-20 02:22:00-07:00,-1.98288
2022-01-20 02:23:00-07:00,-1.98684
2022-01-20 02:24:00-07:00,-2.00662
2022-01-20 02:25:00-07:00,-2.05017
2022-01-20 02:26:00-07:00,-2.05017
2022-01-20 02:27:00-07:00,-2.04622
2022-01-20 02:28:00-07:00,-2.03038
2022-01-20 02:29:00-07:00,-1.99476
2022-01-20 02:30:00-07:00,-1.99476
2022-01-20 02:31:00-07:00,-2.00268
2022-01-20 02:32:00-07:00,-2.03038
2022-01-20 02:33:00-07:00,-2.04225
2022-01-20 02:34:00-07:00,-2.05413
2022-01-20 02:35:00-07:00,-2.07392
2022-01-20 02:36:00-07:00,-2.06204
2022-01-20 02:37:00-07:00,-2.06996
2022-01-20 02:38:00-07:00,-2.08975
2022-01-20 02:39:00-07:00,-2.066
2022-01-20 02:40:00-07:00,-2.04225
2022-01-20 02:41:00-07:00,-2.05017
2022-01-20 02:42:00-07:00,-2.04226
2022-01-20 02:43:00-07:00,-2.01851
2022-01-20 02:44:00-07:00,-1.97894
2022-01-20 02:45:00-07:00,-1.9631
2022-01-20 02:46:00-07:00,-1.91561
2022-01-20 02:47:00-07:00,-1.90373
2022-01-20 02:48:00-07:00,-1.92353
2022-01-20 02:49:00-07:00,-1.96707
2022-01-20 02:50:00-07:00,-2.02644
2022-01-20 02:51:00-07:00,-2.05414
2022-01-20 02:52:00-07:00,-2.09768
2022-01-20 02:53:00-07:00,-2.0858
2022-01-20 02:54:00-07:00,-2.08975
2022-01-20 02:55:00-07:00,-2.07787
2022-01-20 02:56:00-07:00,-2.07787
2022-01-20 02:57:00-07:00,-2.09766
2022-01-20 02:58:00-07:00,-2.02642
2022-01-20 02:59:00-07:00,-2.02247
2022-01-20 03:00:00-07:00,-2.01456
2022-01-20 03:01:00-07:00,-1.99477
2022-01-20 03:02:00-07:00,-1.99082
2022-01-20 03:03:00-07:00,-1.9829
2022-01-20 03:04:00-07:00,-1.97894
2022-01-20 03:05:00-07:00,-1.97498
2022-01-20 03:06:00-07:00,-1.96706
2022-01-20 03:07:00-07:00,-1.9829
2022-01-20 03:08:00-07:00,-1.99477
2022-01-20 03:09:00-07:00,-1.99873
2022-01-20 03:10:00-07:00,-1.9631
2022-01-20 03:11:00-07:00,-1.92353
2022-01-20 03:12:00-07:00,-1.89978
2022-01-20 03:13:00-07:00,-1.90374
2022-01-20 03:14:00-07:00,-1.9354
2022-01-20 03:15:00-07:00,-1.92353
2022-01-20 03:16:00-07:00,-1.89979
2022-01-20 03:17:00-07:00,-1.93541
2022-01-20 03:18:00-07:00,-2.06205
2022-01-20 03:19:00-07:00,-2.13725
2022-01-20 03:20:00-07:00,-2.14516
2022-01-20 03:21:00-07:00,-2.12141
2022-01-20 03:22:00-07:00,-2.066
2022-01-20 03:23:00-07:00,-2.0462
2022-01-20 03:24:00-07:00,-2.06203
2022-01-20 03:25:00-07:00,-2.06204
2022-01-20 03:26:00-07:00,-2.06599
2022-01-20 03:27:00-07:00,-2.01454
2022-01-20 03:28:00-07:00,-1.99871
2022-01-20 03:29:00-07:00,-1.99871
2022-01-20 03:30:00-07:00,-2.01058
2022-01-20 03:31:00-07:00,-2.00663
2022-01-20 03:32:00-07:00,-2.00267
2022-01-20 03:33:00-07:00,-2.03037
2022-01-20 03:34:00-07:00,-2.0383
2022-01-20 03:35:00-07:00,-2.05413
2022-01-20 03:36:00-07:00,-2.04225
2022-01-20 03:37:00-07:00,-1.96705
2022-01-20 03:38:00-07:00,-1.87603
2022-01-20 03:39:00-07:00,-1.86416
2022-01-20 03:40:00-07:00,-1.89582
2022-01-20 03:41:00-07:00,-1.91165
2022-01-20 03:42:00-07:00,-1.85624
2022-01-20 03:43:00-07:00,-1.84833
2022-01-20 03:44:00-07:00,-1.84041
2022-01-20 03:45:00-07:00,-1.81666
2022-01-20 03:46:00-07:00,-1.84832
2022-01-20 03:47:00-07:00,-1.87206
2022-01-20 03:48:00-07:00,-1.89185
2022-01-20 03:49:00-07:00,-1.89581
2022-01-20 03:50:00-07:00,-1.90373
2022-01-20 03:51:00-07:00,-1.90373
2022-01-20 03:52:00-07:00,-1.88395
2022-01-20 03:53:00-07:00,-1.8879
2022-01-20 03:54:00-07:00,-1.89978
2022-01-20 03:55:00-07:00,-1.89978
2022-01-20 03:56:00-07:00,-1.93144
2022-01-20 03:57:00-07:00,-1.93144
2022-01-20 03:58:00-07:00,-1.95519
2022-01-20 03:59:00-07:00,-1.95123
2022-01-20 04:00:00-07:00,-1.94727
2022-01-20 04:01:00-07:00,-1.98289
2022-01-20 04:02:00-07:00,-1.99872
2022-01-20 04:03:00-07:00,-1.99872
2022-01-20 04:04:00-07:00,-1.9908
2022-01-20 04:05:00-07:00,-2.03038
2022-01-20 04:06:00-07:00,-2.0106
2022-01-20 04:07:00-07:00,-1.98685
2022-01-20 04:08:00-07:00,-1.94332
2022-01-20 04:09:00-07:00,-1.92353
2022-01-20 04:10:00-07:00,-1.91562
2022-01-20 04:11:00-07:00,-1.93937
2022-01-20 04:12:00-07:00,-1.92749
2022-01-20 04:13:00-07:00,-1.92353
2022-01-20 04:14:00-07:00,-1.91957
2022-01-20 04:15:00-07:00,-1.91561
2022-01-20 04:16:00-07:00,-1.92748
2022-01-20 04:17:00-07:00,-1.91957
2022-01-20 04:18:00-07:00,-1.9354
2022-01-20 04:19:00-07:00,-1.94332
2022-01-20 04:20:00-07:00,-1.95123
2022-01-20 04:21:00-07:00,-1.90373
2022-01-20 04:22:00-07:00,-1.89581
2022-01-20 04:23:00-07:00,-1.86415
2022-01-20 04:24:00-07:00,-1.86416
2022-01-20 04:25:00-07:00,-1.86811
