,Ambient Temperature,Barometric Pressure,Diffuse Horizontal,Direct Normal,Global Horizontal,Global Normal,Plane of array,Relative Humidity,UV-A,UV-B,Wind Direction,Wind Speed
1/1/2022 2:55,-13.63602,809.9955,0.379526,1.408734,-0.6686293,-0.6493108,-0.363579,94.68227,0.003703553,0.001645664,-1.061272,0.04755389
1/1/2022 3:00,-13.61828,809.8813,0.379526,1.408734,-0.6686293,-0.6493108,-0.363579,94.66781,0.003703652,0.001645708,20.32323,0.9606143
1/1/2022 3:05,-13.65215,810.1693,0.379526,1.408734,-0.6686293,-0.6493108,-0.363579,94.66842,0.003703676,0.001645719,356.1052,1.13182
1/1/2022 3:10,-13.73672,809.7671,0,0.7043669,-0.6686293,-0.6493108,-0.363579,94.48311,0.003703752,0.001645752,21.48804,0.4755644
1/1/2022 3:15,-13.75355,810.3005,0.379526,0.7043669,-0.6686293,-0.6493108,-0.363579,94.46681,0.00370378,0.001645765,4.392268,0.922602
1/1/2022 3:20,-13.8555,809.4855,0.379526,1.408734,-0.6686293,-0.6493108,-0.363579,94.46744,0.003703804,0.001645776,339.2054,0.4945941
1/1/2022 3:25,-13.88945,809.7317,0.379526,1.408734,-0.6686293,-0.6493108,-0.363579,94.43372,0,0.001645782,325.2048,1.217466
1/1/2022 3:30,-13.85538,809.7321,0.379526,0.7043669,-0.6686293,-0.6493108,-0.363579,94.41681,0.003703821,0.001645784,327.8708,1.274537
1/1/2022 3:35,-13.99152,809.4873,0,0.7043746,-0.6686366,-0.6493179,-0.7271659,94.36585,0,0.001645785,20.07912,0.5992231
1/1/2022 3:40,-14.02555,809.896,0.3795314,1.056565,-0.6686388,-0.6493199,-0.7271682,94.33186,0.003703828,0.001645786,353.2092,0.8179876
1/1/2022 3:45,-14.04256,809.7327,0.3795349,1.408767,-0.668645,-0.649326,-0.727175,94.29784,0.003703828,0.001645787,104.2732,0.6182466
1/1/2022 3:50,-14.09362,809.4876,0.3795349,1.408767,-0.668645,-0.649326,-0.7271749,94.14467,0.007407659,0.001645787,62.05361,0.817988
1/1/2022 3:55,-14.17873,809.1608,0.3795444,1.408802,-0.6686618,-0.6493423,-0.7271932,94.14467,0.007407659,0.001645787,319.4153,0.2758332
1/1/2022 4:00,-14.28086,809.6102,0.3795535,1.408836,-0.6686777,-0.6493579,-0.7272106,93.97446,0.003703829,0.001645787,320.9166,0.8084765
1/1/2022 4:05,-14.4,809.6919,0.3795658,1.408881,-0.6686994,-0.6493788,-0.7272342,93.7702,0.007407659,0.001645787,335.0102,1.284051
1/1/2022 4:10,-14.50213,809.6102,0.3795749,0.3522288,-0.6687155,-0.6493944,-0.7272516,93.54892,0.003703829,0.001645787,343.3745,1.835717
1/1/2022 4:15,-14.74043,809.8145,0.3795792,0.3522328,-0.6687231,-0.6494018,-0.7272599,93.5319,0.007407659,0.001645787,308.2936,1.712068
1/1/2022 4:20,-14.80851,809.7327,0.3795838,1.056711,-0.6687311,-0.6494097,-0.7272686,93.46381,0.007407659,0.001645787,344.8451,1.607442
1/1/2022 4:25,-14.89362,809.8145,0.3795866,0.7044792,-0.668736,-0.6494144,-0.7272739,93.51488,0.007407659,0.001645787,327.9327,1.97839
1/1/2022 4:30,-14.8766,809.5284,0.3795878,0.7044815,-0.6687381,-0.6494164,-1.090914,93.49786,0.003703829,0.001645787,331.977,1.959367
1/1/2022 4:35,-15.04681,809.3651,0,0.3522418,-0.6687402,-0.6494185,-0.7272785,93.41275,0.003703829,0.001645787,346.4383,1.398189
1/1/2022 4:40,-15.13192,809.9778,0.3795896,0.7044849,-0.6687414,-0.6494196,-0.7272798,93.34467,0.007407659,0.001810366,336.4196,2.254223
1/1/2022 4:45,-15.21702,810.0187,0.3795899,0.3522427,-0.6687419,-0.6494201,-0.7272804,93.2085,0.003703829,0.001645787,332.0076,1.930832
1/1/2022 4:50,-15.23405,810.1412,0.3795977,0.7044998,-0.6687556,-0.6494334,-0.7272952,93.10637,0.003703829,0.001810366,319.5378,1.930832
1/1/2022 4:55,-15.18298,809.6102,0.3796006,1.409011,-0.6687608,-0.6494384,-0.7273009,93.2936,0.007407659,0.001810366,338.9625,2.149596
1/1/2022 5:00,-15.28511,809.7736,0,0.704507,-0.6687624,-0.64944,-0.7273026,93.22552,0.003703829,0.001810366,339.0851,1.816694
1/1/2022 5:05,-15.33617,810.3046,0.379609,1.409042,-0.6687754,-0.6494527,-0.7273169,93.25956,0.003703829,0.001645787,348.8281,2.377872
1/1/2022 5:10,-15.26809,809.6919,0,1.409091,-0.6687989,-0.6494754,-0.3636712,93.36169,0,0.001645787,356.0894,1.959367
1/1/2022 5:15,-15.23362,810.1874,0,1.409132,-0.6688186,-0.6494946,-0.3636819,93.34626,0.003703892,0.001645815,351.6528,1.255538
1/1/2022 5:20,-15.23377,809.6544,0,1.409153,-0.6688286,-0.6495043,-0.3636873,93.29462,0.00740774,0.001810386,3.044299,1.055787
1/1/2022 5:25,-15.16582,810.429,0,1.409176,-0.6688393,0,-0.3636932,93.3452,0.00370385,0.001810376,343.1925,0.580204
1/1/2022 5:30,-15.19993,809.8153,0.3796491,1.056893,-0.6688461,0,-0.3636969,93.34496,0.007407681,0.001645792,320.6418,1.921326
1/1/2022 5:35,-15.21655,810.3923,0.3796508,1.056898,-0.6688491,0,-0.3636985,93.29539,0.0074078,0.001645819,4.361804,0.8180035
1/1/2022 5:40,-15.1469,810.5344,0,1.409203,-0.6688521,0,-0.3637001,93.28424,0.007408266,0.001645922,349.0406,1.160497
