timestamp,value,label
7/6/2015,39887.51145,0
7/7/2015,19018.51862,0
7/8/2015,39866.8671,0
7/9/2015,36575.74656,0
7/10/2015,44341.63258,0
7/11/2015,42885.27063,0
7/12/2015,38052.45015,0
7/13/2015,39791.58701,0
7/14/2015,27721.54213,0
7/15/2015,44284.3511,0
7/16/2015,43109.48967,0
7/17/2015,16162.86312,0
7/18/2015,34191.78736,0
7/19/2015,35247.36535,0
7/20/2015,38203.36834,0
7/21/2015,44044.52696,0
7/22/2015,44657.22415,0
7/23/2015,44691.97555,0
7/24/2015,40945.32649,0
7/25/2015,24040.87274,0
7/26/2015,41232.85995,0
7/27/2015,42349.1686,0
7/28/2015,41513.37325,0
7/29/2015,38770.07495,0
7/30/2015,38677.83899,0
7/31/2015,31221.69353,0
8/1/2015,37870.98173,0
8/2/2015,30849.63089,0
8/3/2015,35888.71425,0
8/4/2015,28845.63766,0
8/5/2015,38579.54689,0
8/6/2015,38260.04236,0
8/7/2015,40652.3885,0
8/8/2015,25191.27613,0
8/9/2015,42529.05015,0
8/10/2015,21175.32129,0
8/11/2015,30164.48549,0
8/12/2015,39942.85839,0
8/13/2015,35958.11718,0
8/14/2015,22130.19368,0
8/15/2015,39822.40845,0
8/16/2015,39594.58976,0
8/17/2015,38924.46393,0
8/18/2015,23297.51976,0
8/19/2015,32739.12183,0
8/20/2015,25134.57219,0
8/21/2015,22409.24177,0
8/22/2015,40949.26316,0
8/23/2015,38719.50467,0
8/24/2015,32627.29502,0
8/25/2015,17462.04714,0
8/26/2015,17332.27822,0
8/27/2015,20333.09778,0
8/28/2015,33126.11934,0
8/29/2015,15393.70049,0
8/30/2015,27514.23993,0
8/31/2015,35174.44864,0
9/1/2015,34206.66207,0
9/2/2015,30544.58869,0
9/3/2015,25874.74011,0
9/4/2015,36621.32654,0
9/5/2015,35724.70016,0
9/6/2015,33013.32037,0
9/7/2015,29999.43654,0
9/8/2015,22482.94681,0
9/9/2015,22300.06049,0
9/10/2015,38524.19149,0
9/11/2015,28564.51607,0
9/12/2015,21401.54457,0
9/13/2015,15059.18967,0
9/14/2015,38119.63562,0
9/15/2015,37238.38947,0
9/16/2015,36692.20363,0
9/17/2015,37211.67963,0
9/18/2015,19931.94884,0
9/19/2015,14998.65528,0
9/20/2015,36250.00388,0
9/21/2015,33665.26704,0
9/22/2015,37578.33351,0
9/23/2015,36318.73529,0
9/24/2015,26702.31062,0
9/25/2015,32537.06431,0
9/26/2015,35981.79013,0
9/27/2015,29710.73992,0
9/28/2015,14121.49352,0
9/29/2015,17047.88694,0
9/30/2015,33733.7207,0
10/1/2015,36963.66059,0
10/2/2015,28467.6222,0
10/3/2015,23377.32794,0
10/4/2015,14916.06031,0
10/5/2015,16235.8416,0
10/6/2015,15593.57025,0
10/7/2015,23494.86139,0
10/8/2015,27051.02489,0
10/9/2015,12223.9097,0
10/10/2015,31089.24117,0
10/11/2015,31235.7944,0
10/12/2015,30647.96257,0
10/13/2015,14221.14087,0
10/14/2015,25951.12476,0
10/15/2015,21527.77399,0
10/16/2015,20137.23824,0
10/17/2015,27734.18441,0
10/18/2015,19613.14619,0
10/19/2015,20576.26334,0
10/20/2015,13535.78665,0
